YEAR      MONTH     DAY       HOUR      MIN       SEC       GDLATR        GDLONR        GDALT      SNL        VIPE1         DVIPE1        VIPN1         DVIPN1        
  2014         8        20        23         1        36    -1.19500e+01  -7.68700e+01     105.00       1.63  -3.11800e+02   2.00000e+01      36.60000       1.80000  
  2014         8        20        23         1        36    -1.19500e+01  -7.68700e+01     108.75       0.08   3.43500e+02   2.00000e+01      22.70000       3.00000  
  2014         8        20        23         1        36    -1.19500e+01  -7.68700e+01     112.50       0.05  -2.68100e+02   2.00000e+01       0.20000       0.60000  
  2014         8        20        23         1        36    -1.19500e+01  -7.68700e+01     116.25      -0.24  -9.50000e+01   2.00000e+01      13.90000       0.70000  
  2014         8        20        23         1        36    -1.19500e+01  -7.68700e+01     120.00      -0.78  -6.42800e+02   2.00000e+01      32.60000       4.30000  
  2014         8        20        23         2         0    -1.19500e+01  -7.68700e+01      93.75       0.44  -1.29700e+02   2.00000e+01       9.30000       0.70000  
  2014         8        20        23         2         0    -1.19500e+01  -7.68700e+01      97.50       1.44  -1.11800e+02   4.01000e+01       4.70000       1.40000  
  2014         8        20        23         2         0    -1.19500e+01  -7.68700e+01     101.25       2.19  -2.04900e+02   2.00000e+01     -18.90000       2.60000  
  2014         8        20        23         2         0    -1.19500e+01  -7.68700e+01     105.00       1.63  -2.21000e+02   2.00000e+01      30.50000       2.10000  
  2014         8        20        23         2         0    -1.19500e+01  -7.68700e+01     108.75       0.01  -3.88700e+02   2.00000e+01      36.40000       1.00000  
  2014         8        20        23         2         0    -1.19500e+01  -7.68700e+01     112.50      -0.13  -7.47000e+01   2.00000e+01       5.80000       0.50000  
  2014         8        20        23         2         0    -1.19500e+01  -7.68700e+01     116.25      -0.16  -4.37300e+02   2.00000e+01       9.00000       0.70000  
  2014         8        20        23         2        26    -1.19500e+01  -7.68700e+01      93.75       0.43  -3.42000e+01   2.00000e+01       6.10000       0.70000  
  2014         8        20        23         2        26    -1.19500e+01  -7.68700e+01      97.50       1.46  -1.78500e+02   4.45000e+01       5.00000       1.60000  
  2014         8        20        23         2        26    -1.19500e+01  -7.68700e+01     101.25       2.08  -1.13500e+02   3.32000e+01      -9.30000       2.40000  
  2014         8        20        23         2        26    -1.19500e+01  -7.68700e+01     105.00       1.63  -1.59200e+02   4.86000e+01      49.70000       2.20000  
  2014         8        20        23         2        26    -1.19500e+01  -7.68700e+01     108.75       0.22  -2.54100e+02   2.00000e+01      31.50000       4.30000  
  2014         8        20        23         2        26    -1.19500e+01  -7.68700e+01     112.50      -0.10  -5.99000e+01   2.00000e+01      11.00000       0.70000  
  2014         8        20        23         2        26    -1.19500e+01  -7.68700e+01     116.25      -0.10  -8.03000e+01   2.00000e+01       8.00000       0.40000  
  2014         8        20        23         2        52    -1.19500e+01  -7.68700e+01      93.75       0.39  -9.73000e+01   2.00000e+01      11.20000       0.70000  
  2014         8        20        23         2        52    -1.19500e+01  -7.68700e+01      97.50       1.26  -2.66400e+02   2.00000e+01       2.30000       1.30000  
  2014         8        20        23         2        52    -1.19500e+01  -7.68700e+01     101.25       2.10   2.93000e+01   2.00000e+01       6.30000       2.00000  
  2014         8        20        23         2        52    -1.19500e+01  -7.68700e+01     105.00       1.61  -3.50300e+02   2.00000e+01      40.70000       2.10000  
  2014         8        20        23         2        52    -1.19500e+01  -7.68700e+01     108.75       0.13  -2.06800e+02   2.00000e+01      34.20000       2.00000  
  2014         8        20        23         2        52    -1.19500e+01  -7.68700e+01     112.50      -0.26   2.46500e+02   2.00000e+01       1.00000       0.80000  
  2014         8        20        23         2        52    -1.19500e+01  -7.68700e+01     116.25      -0.29   8.06000e+01   2.00000e+01      12.20000       0.30000  
  2014         8        20        23         3        15    -1.19500e+01  -7.68700e+01      93.75       0.39  -1.13100e+02   2.00000e+01       7.30000       0.60000  
  2014         8        20        23         3        15    -1.19500e+01  -7.68700e+01      97.50       1.14  -1.08400e+02   3.60000e+01       8.40000       1.20000  
  2014         8        20        23         3        15    -1.19500e+01  -7.68700e+01     101.25       2.00  -1.89800e+02   4.15000e+01      10.20000       1.80000  
  2014         8        20        23         3        15    -1.19500e+01  -7.68700e+01     105.00       1.40  -1.42900e+02   6.08000e+01      31.70000       1.80000  
  2014         8        20        23         3        15    -1.19500e+01  -7.68700e+01     108.75      -0.08  -8.08500e+02   2.00000e+01      25.20000       1.40000  
  2014         8        20        23         3        15    -1.19500e+01  -7.68700e+01     112.50      -0.20  -2.19700e+02   2.00000e+01       1.50000       0.70000  
  2014         8        20        23         3        15    -1.19500e+01  -7.68700e+01     116.25      -0.30  -7.93000e+02   2.00000e+01      20.10000       1.20000  
  2014         8        20        23         3        41    -1.19500e+01  -7.68700e+01      93.75       0.42   5.41000e+02   2.00000e+01       7.60000       0.60000  
  2014         8        20        23         3        41    -1.19500e+01  -7.68700e+01      97.50       1.28  -6.53000e+01   4.32000e+01       5.80000       1.40000  
  2014         8        20        23         3        41    -1.19500e+01  -7.68700e+01     101.25       2.07  -2.06900e+02   2.00000e+01       1.00000       1.80000  
  2014         8        20        23         3        41    -1.19500e+01  -7.68700e+01     105.00       1.54  -2.74600e+02   2.00000e+01      37.20000       2.00000  
  2014         8        20        23         3        41    -1.19500e+01  -7.68700e+01     108.75      -0.04  -3.33700e+02   2.00000e+01      23.90000       1.30000  
  2014         8        20        23         3        41    -1.19500e+01  -7.68700e+01     112.50      -0.27   3.12000e+01   2.00000e+01       6.00000       0.90000  
  2014         8        20        23         3        41    -1.19500e+01  -7.68700e+01     116.25      -0.24  -6.78400e+02   2.00000e+01       6.60000       0.60000  
  2014         8        20        23         4         6    -1.19500e+01  -7.68700e+01      93.75       0.36  -1.59400e+02   2.00000e+01       9.30000       0.80000  
  2014         8        20        23         4         6    -1.19500e+01  -7.68700e+01      97.50       1.22  -2.51500e+02   2.00000e+01       9.20000       1.10000  
  2014         8        20        23         4         6    -1.19500e+01  -7.68700e+01     101.25       2.04  -2.72100e+02   2.00000e+01      14.70000       1.90000  
  2014         8        20        23         4         6    -1.19500e+01  -7.68700e+01     105.00       1.43  -1.59700e+02   2.00000e+01      31.70000       2.10000  
  2014         8        20        23         4         6    -1.19500e+01  -7.68700e+01     108.75      -0.11  -8.16300e+02   2.00000e+01      19.40000       1.10000  
